Designator,Mid X,Mid Y,Layer,Rotation
C6,29.81558mm,35.53174mm,Bottom,270.0
C7,35.28674mm,34.64274mm,Bottom,270.0
C8,8.06302mm,41.4982mm,Bottom,270.0
C9,11.96192mm,47.84058mm,Bottom,180.0
D2,129.054mm,52.473mm,Bottom,90.0
D3,119.284mm,45.195mm,Bottom,90.0
D4,123.358mm,47.494mm,Bottom,90.0
D5,125.062mm,52.5mm,Bottom,90.0
D6,130.477mm,70.03mm,Bottom,180.0
D7,116.271mm,70.101mm,Bottom,270.0
Q11,134.469mm,69.064mm,Bottom,0.0
Q12,121.157mm,69.807mm,Bottom,0.0
R1A,12.17782mm,42.27036mm,Bottom,0.0
R12,113.294mm,48.284mm,Bottom,120.0
R13,96.097mm,35.652mm,Bottom,120.0
R14,108.098mm,39.44mm,Bottom,120.0
R16,116.443mm,66.964mm,Bottom,180.0
R18,95.444mm,48.58mm,Bottom,120.0
R25,139.275mm,69.133mm,Bottom,270.0
R26,124.742072mm,69.807mm,Bottom,270.0
R41,11.57076mm,55.86698mm,Bottom,315.0
R42,8.22812mm,56.7128mm,Bottom,0.0
C1,142.004994mm,4.28mm,Top,90.0
C3,24.96164mm,42.32116mm,Top,0.0
C4,25.57378mm,32.91554mm,Top,270.0
C5,32.25144mm,44.09916mm,Top,270.0
C10,17.8344mm,43.05268mm,Top,90.0
C11,8.13668mm,48.85912mm,Top,180.0
C12A,19.74702mm,48.47558mm,Top,90.0
C13,25.3655mm,44.79004mm,Top,270.0
C13A,19.73432mm,51.09432mm,Top,270.0
F1,27.456mm,50.825mm,Top,315.0
F2,27.25mm,54.852mm,Top,315.0
G3,42.25619mm,3.88371mm,Top,0.0
G4,103.56535mm,20.697713mm,Top,0.0
H2,5.0mm,4.95mm,Top,0.0
IC2,29.68254mm,38.53131mm,Top,90.0
IC2A,13.96502mm,47.83787mm,Top,0.0
J4,66.007mm,13.72mm,Top,0.0
J8,120.352mm,6.502mm,Top,0.0
JP1,140.97mm,13.451mm,Top,180.0
JP2,21.5301mm,43.7715mm,Top,0.0
JP3,139.494mm,7.635mm,Top,0.0
Q1,113.484538mm,47.952768mm,Top,300.0
Q2,96.773mm,34.995461mm,Top,300.0
Q3,108.397538mm,39.096768mm,Top,300.0
Q4,95.453462mm,48.092768mm,Top,300.0
Q7,123.804mm,51.742mm,Top,0.0
Q8,124.706mm,43.711mm,Top,180.0
Q9,122.079mm,32.359mm,Top,0.0
Q10,152.887mm,35.782mm,Top,180.0
Q13,134.108mm,48.552mm,Top,0.0
Q14,135.174mm,37.462mm,Top,0.0
Q15,148.634mm,43.795mm,Top,180.0
Q16,148.366mm,53.936mm,Top,180.0
R1,34.75334mm,37.27164mm,Top,180.0
R2,28.164mm,57.532mm,Top,180.0
R3,30.742mm,55.555mm,Top,90.0
R9,115.578mm,39.783mm,Top,300.0
R10,99.154mm,27.979mm,Top,30.0
R11,110.691mm,32.114mm,Top,30.0
R15,99.988mm,41.06718mm,Top,120.0
R21,128.126mm,47.558mm,Top,180.0
R22,121.404mm,38.975928mm,Top,0.0
R23,121.711mm,28.598mm,Top,0.0
R24,153.142mm,31.168mm,Top,180.0
R27,35.81252mm,39.0852mm,Top,90.0
R28,24.21996mm,34.64782mm,Top,0.0
R29,137.364928mm,43.292mm,Top,90.0
R30,139.028mm,33.241072mm,Top,180.0
R31,144.627mm,48.626928mm,Top,0.0
R32,148.71mm,49.553mm,Top,180.0
R33,34.64158mm,39.12584mm,Top,90.0
R34,34.3317mm,42.3745mm,Top,0.0
R35,24.1971mm,37.27418mm,Top,0.0
