Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C6,33.407mm,34.633000mm,Bottom,-90.0,33.407mm,34.633000mm
C7,35.28674mm,34.642740mm,Bottom,-90.0,35.28674mm,34.642740mm
C8,8.107mm,42.233000mm,Bottom,-90.0,8.107mm,42.233000mm
C9,13.607mm,47.733000mm,Bottom,0.0,13.607mm,47.733000mm
D2,129.007mm,52.473000mm,Bottom,90.0,129.007mm,52.473000mm
D3,120.155mm,42.887000mm,Bottom,90.0,120.155mm,42.887000mm
D4,123.358mm,47.494000mm,Bottom,90.0,123.358mm,47.494000mm
D5,125.062mm,52.500000mm,Bottom,90.0,125.062mm,52.500000mm
D6,130.477mm,70.030000mm,Bottom,180.0,130.477mm,70.030000mm
D7,116.271mm,70.101000mm,Bottom,270.0,116.271mm,70.101000mm
G4,25.301651mm,40.340713mm,Bottom,180.0,25.301651mm,40.340713mm
Q11,134.469mm,69.064000mm,Bottom,0.0,134.469mm,69.064000mm
Q12,121.157mm,69.807000mm,Bottom,0.0,121.157mm,69.807000mm
R1A1,12.181mm,42.603000mm,Bottom,0.0,12.181mm,42.603000mm
R12,111.607mm,49.533000mm,Bottom,120.0,111.607mm,49.533000mm
R13,96.097mm,35.652000mm,Bottom,120.0,96.097mm,35.652000mm
R14,108.098mm,39.440000mm,Bottom,120.0,108.098mm,39.440000mm
R16,116.443mm,66.964000mm,Bottom,180.0,116.443mm,66.964000mm
R18,95.444mm,48.580000mm,Bottom,120.0,95.444mm,48.580000mm
R25,139.275mm,69.133000mm,Bottom,-90.0,139.275mm,69.133000mm
R26,124.737mm,69.943000mm,Bottom,-90.0,124.737mm,69.943000mm
R41,11.57076mm,55.866980mm,Bottom,-45.0,11.57076mm,55.866980mm
R42,9.107mm,57.116000mm,Bottom,-90.0,9.107mm,57.116000mm
C1,142.004994mm,4.280000mm,Top,90.0,142.004994mm,4.280000mm
C4,25.573780mm,32.915540mm,Top,-90.0,25.573780mm,32.915540mm
C5,32.251440mm,44.099160mm,Top,-90.0,32.251440mm,44.099160mm
C10,17.107000mm,42.833000mm,Top,0.0,17.107000mm,42.833000mm
C11,8.807000mm,49.833000mm,Top,-90.0,8.807000mm,49.833000mm
C13,25.365500mm,44.790040mm,Top,-90.0,25.365500mm,44.790040mm
C13A1,19.734320mm,51.094320mm,Top,-90.0,19.734320mm,51.094320mm
F1,27.456000mm,50.825000mm,Top,-45.0,27.456000mm,50.825000mm
F2,27.250000mm,54.852000mm,Top,-45.0,27.250000mm,54.852000mm
G3,42.256190mm,3.883710mm,Top,0.0,42.256190mm,3.883710mm
IC2,29.682540mm,38.531310mm,Top,90.0,29.682540mm,38.531310mm
IC2A1,13.965020mm,47.837870mm,Top,0.0,13.965020mm,47.837870mm
J4,66.007000mm,13.720000mm,Top,0.0,66.007000mm,13.720000mm
J8,120.352000mm,6.502000mm,Top,0.0,120.352000mm,6.502000mm
JP1,140.970000mm,13.451000mm,Top,180.0,140.970000mm,13.451000mm
JP2,21.530100mm,43.771500mm,Top,0.0,21.530100mm,43.771500mm
JP3,139.494000mm,7.635000mm,Top,0.0,139.494000mm,7.635000mm
M1,38.339001mm,30.157001mm,Top,180.0,38.339001mm,30.157001mm
M2,84.981172mm,69.129979mm,Top,180.0,84.981172mm,69.129979mm
M5,139.080000mm,24.612000mm,Top,180.0,139.080000mm,24.612000mm
M6,80.367010mm,55.272990mm,Top,180.0,80.367010mm,55.272990mm
M7,1.319000mm,38.270000mm,Top,-90.0,1.319000mm,38.270000mm
Q1,111.961538mm,49.337768mm,Top,300.0,111.961538mm,49.337768mm
Q2,96.773000mm,34.995461mm,Top,300.0,96.773000mm,34.995461mm
Q3,108.397538mm,39.096768mm,Top,300.0,108.397538mm,39.096768mm
Q4,95.453462mm,48.092768mm,Top,300.0,95.453462mm,48.092768mm
Q7,123.804000mm,51.742000mm,Top,0.0,123.804000mm,51.742000mm
Q8,124.516000mm,43.580000mm,Top,180.0,124.516000mm,43.580000mm
Q9,122.079000mm,32.359000mm,Top,0.0,122.079000mm,32.359000mm
Q10,152.887000mm,35.782000mm,Top,180.0,152.887000mm,35.782000mm
Q13,134.108000mm,48.552000mm,Top,0.0,134.108000mm,48.552000mm
Q14,135.174000mm,37.462000mm,Top,0.0,135.174000mm,37.462000mm
Q15,148.634000mm,43.795000mm,Top,180.0,148.634000mm,43.795000mm
Q16,148.593600mm,54.111840mm,Top,180.0,148.593600mm,54.111840mm
R1,34.753340mm,37.271640mm,Top,180.0,34.753340mm,37.271640mm
R2,28.164000mm,57.532000mm,Top,180.0,28.164000mm,57.532000mm
R3,31.409928mm,56.260000mm,Top,-90.0,31.409928mm,56.260000mm
R4,19.107000mm,26.033000mm,Top,-90.0,19.107000mm,26.033000mm
R9,113.907000mm,41.433000mm,Top,-60.0,113.907000mm,41.433000mm
R10,99.154000mm,27.979000mm,Top,30.0,99.154000mm,27.979000mm
R11,110.691000mm,32.114000mm,Top,30.0,110.691000mm,32.114000mm
R15,99.107000mm,41.067180mm,Top,30.0,99.107000mm,41.067180mm
R21,128.007000mm,47.233000mm,Top,180.0,128.007000mm,47.233000mm
R22,122.507000mm,38.204000mm,Top,0.0,122.507000mm,38.204000mm
R23,129.107000mm,30.033000mm,Top,180.0,129.107000mm,30.033000mm
R24,153.142000mm,31.168000mm,Top,180.0,153.142000mm,31.168000mm
R27,27.607000mm,44.033000mm,Top,90.0,27.607000mm,44.033000mm
R28,24.219960mm,34.647820mm,Top,0.0,24.219960mm,34.647820mm
R29,137.364928mm,43.292000mm,Top,90.0,137.364928mm,43.292000mm
R30,139.028000mm,33.241072mm,Top,180.0,139.028000mm,33.241072mm
R31,147.207000mm,48.533000mm,Top,0.0,147.207000mm,48.533000mm
R32,152.107000mm,57.133000mm,Top,180.0,152.107000mm,57.133000mm
R33,34.243000mm,39.036000mm,Top,90.0,34.243000mm,39.036000mm
R34,34.331700mm,42.374500mm,Top,0.0,34.331700mm,42.374500mm
R35,24.197100mm,37.274180mm,Top,0.0,24.197100mm,37.274180mm
R36,14.748300mm,42.758040mm,Top,0.0,14.748300mm,42.758040mm
R37,15.756680mm,41.391520mm,Top,180.0,15.756680mm,41.391520mm
R38,19.716540mm,46.395320mm,Top,0.0,19.716540mm,46.395320mm
R39,10.633500mm,52.651340mm,Top,180.0,10.633500mm,52.651340mm
R40,12.707000mm,53.154260mm,Top,-90.0,12.707000mm,53.154260mm
U1,-0.075000mm,75.181000mm,Top,0.0,-0.075000mm,75.181000mm
U2,150.259000mm,15.130000mm,Top,0.0,150.259000mm,15.130000mm
text1,98.020815mm,15.773540mm,Top,5.0,98.020815mm,15.773540mm
