"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"17760871";1;"1-776087-1";;;
2;"IC2A1,IC2";"SOIC127P600X175-14N";2;"LM1815MX_NOPB";;;
3;"Q7,Q9,Q14,Q13,Q8,Q15,Q10,Q16";"SOT-223";8;"ZXMS6005SGTA";;;
4;"R32,R31,R29,R30,R22,R21,R24,R23,R26,R25";"R0603";10;"4.7k";;;
5;"R34,R38";"R_0402_1005Metric";2;"1.6M";;;
6;"C4,C11";"C_0402_1005Metric";2;"1.2n";;;
7;"Q1,Q4,Q3,Q2";"TO-252-2";4;"ISL9V3040D3S";;;
8;"R39,R28";"R_0402_1005Metric";2;"100k";;;
9;"R40,R35";"R_0402_1005Metric";2;"5.6k";;;
10;"H2,H1,H2,H3";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_Pad";;;
11;"R27,R37,R33,R36,R42,R41";"R_0402_1005Metric";6;"0";;;
12;"C10,C5";"C_0402_1005Metric";2;"0.33u";;;
13;"JP3,JP2,JP1";"PinHeader_1x02_P2.54mm_Vertical";3;"Jumper_2_Bridged";;;
14;"C12A1,C3";"C_0402_1005Metric";2;"100n";;;
15;"R2";"R0603";1;"33k";;;
16;"M7,M5";"wbo";2;"Module-wbo-0.5";;;
17;"M1";"power_12and5V";1;"Module-power_12and5V-0.2";;;
18;"C1";"C0603";1;"100n";;;
19;"R10,R11,R9,R15";"R0603";4;"22";;;
20;"U1";"VFRboardempty";1;"~";;;
21;"text1";"trollfaceVFR";1;"~";;;
22;"J8";"USB-MINI-B-VERTICAL";1;"USB_B_Mini";;;
23;"C13A1,C13";"C_0603_1608Metric";2;"1u";;;
24;"F2,F1";"PAD-1206-PAD";2;"12H1500D";;;
25;"M6";"mega-mcu100";1;"Module:mega-mcu100/0.2";;;
26;"U2";"JDY-33";1;"JDY-33";;;
27;"G3";"rusefi_logo";1;"RUSEFI_LOGO";;;
28;"R3";"R0603";1;"6.8k";;;
29;"R1,R1A1";"R_0402_1005Metric";2;"4.7k";;;
30;"G4";"LOGO";1;"LOGO";;;
31;"C7,C8";"C_0603_1608Metric";2;"0.33u";;;
32;"C9,C6";"C_0603_1608Metric";2;"~";;;
33;"R16";"R0603";1;"470k";;;
34;"D2,D5,D3,D4";"SOD-123";4;"B5819W";;;
35;"R12,R18,R13,R14";"R_2512_6332Metric";4;"0";;;
36;"D7,D6";"SOT-23";2;"PSM712-LF";;;
37;"Q12,Q11";"SOT-23";2;"AO3400A";;;
