Ref,Val,Package,PosX,PosY,Rot,Side
"C6","~","C_0603_1608Metric",-33.407000,34.633000,-90.000000,bottom
"C7","0.33u","C_0603_1608Metric",-35.286740,34.642740,-90.000000,bottom
"C8","0.33u","C_0603_1608Metric",-8.107000,42.233000,-90.000000,bottom
"C9","~","C_0603_1608Metric",-13.607000,47.733000,0.000000,bottom
"D2","B5819W","SOD-123",-129.007000,52.473000,90.000000,bottom
"D3","B5819W","SOD-123",-120.107000,42.733000,90.000000,bottom
"D4","B5819W","SOD-123",-123.358000,47.494000,90.000000,bottom
"D5","B5819W","SOD-123",-125.062000,52.500000,90.000000,bottom
"D6","PSM712-LF","SOT-23",-130.477000,70.030000,0.000000,bottom
"D7","PSM712-LF","SOT-23",-116.271000,70.101000,90.000000,bottom
"Q11","AO3400A","SOT-23",-134.469000,69.064000,180.000000,bottom
"Q12","AO3400A","SOT-23",-121.157000,69.807000,180.000000,bottom
"R1A1","4.7k","R_0402_1005Metric",-12.177820,42.270360,0.000000,bottom
"R12","0","R_2512_6332Metric",-113.294000,48.284000,120.000000,bottom
"R13","0","R_2512_6332Metric",-96.097000,35.652000,120.000000,bottom
"R14","0","R_2512_6332Metric",-108.098000,39.440000,120.000000,bottom
"R16","470k","R0603",-116.443000,66.964000,180.000000,bottom
"R18","0","R_2512_6332Metric",-95.444000,48.580000,120.000000,bottom
"R25","4.7k","R0603",-139.275000,69.133000,-90.000000,bottom
"R26","4.7k","R0603",-124.742072,69.807000,-90.000000,bottom
"R41","0","R_0402_1005Metric",-11.570760,55.866980,-45.000000,bottom
"R42","0","R_0402_1005Metric",-8.228120,56.712800,0.000000,bottom
"C1","100n","C0603",142.004994,4.280000,90.000000,top
"C3","100n","C_0402_1005Metric",25.307000,41.633000,90.000000,top
"C4","1.2n","C_0402_1005Metric",25.573780,32.915540,-90.000000,top
"C5","0.33u","C_0402_1005Metric",32.251440,44.099160,-90.000000,top
"C10","0.33u","C_0402_1005Metric",17.107000,42.833000,0.000000,top
"C11","1.2n","C_0402_1005Metric",8.807000,49.833000,-90.000000,top
