"Comment","Designator","Footprint","LCSC Part #"
"100n","C1","hellen-one-common:C0603","C14663"
"1.2n","C4","Capacitor_SMD:C_0402_1005Metric",""
"0.33u","C5","Capacitor_SMD:C_0402_1005Metric",""
"~","C6","Capacitor_SMD:C_0603_1608Metric",""
"0.33u","C7","Capacitor_SMD:C_0603_1608Metric",""
"0.33u","C8","Capacitor_SMD:C_0603_1608Metric",""
"~","C9","Capacitor_SMD:C_0603_1608Metric",""
"0.33u","C10","Capacitor_SMD:C_0402_1005Metric",""
"1.2n","C11","Capacitor_SMD:C_0402_1005Metric",""
"10u","C13","Capacitor_SMD:C_0603_1608Metric","C96446"
"10u","C13A1","Capacitor_SMD:C_0603_1608Metric","C96446"
"B5819W","D2","hellen-one-common:SOD-123","C8598"
"B5819W","D3","hellen-one-common:SOD-123","C8598"
"B5819W","D4","hellen-one-common:SOD-123","C8598"
"B5819W","D5","hellen-one-common:SOD-123","C8598"
"PSM712-LF","D6","hellen-one-common:SOT-23","C32677"
"PSM712-LF","D7","hellen-one-common:SOT-23","C32677"
"12H1500D","F1","hellen-one-common:PAD-1206-PAD","C182446"
"12H1500D","F2","hellen-one-common:PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G3","kicad6-libraries:rusefi_logo",""
"LOGO","G4","hellen-one-common:LOGO",""
"MountingHole_Pad","H1","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"MountingHole_Pad","H2","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"MountingHole_Pad","H3","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"MountingHole_Pad","H4","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"LM1815MX_NOPB","IC2","SOIC127P600X175-14N",""
"LM1815MX_NOPB","IC2A1","SOIC127P600X175-14N",""
"1-776087-1","J4","17760871",""
"USB_B_Mini","J8","hellen-one-common:USB-MINI-B-VERTICAL",""
"Jumper_2_Bridged","JP1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Jumper_2_Bridged","JP2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Jumper_2_Bridged","JP3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Module-power_12and5V-0.2","M1","hellen-one-power_12and5V-0.2:power_12and5V",""
"Module-knock-0.2","M2","hellen-one-knock-0.2:knock",""
"Module-wbo-0.5","M5","hellen-one-wbo-0.5:wbo",""
"Module:mega-mcu100/0.2","M6","hellen-one-mega-mcu100-0.2:mega-mcu100",""
"Module-wbo-0.5","M7","hellen-one-wbo-0.5:wbo",""
"ISL9V3040D3S","Q1","Package_TO_SOT_SMD:TO-252-2",""
"ISL9V3040D3S","Q2","Package_TO_SOT_SMD:TO-252-2",""
